category,iso3,region,year,population,pred_per_mn,units
general,ARE,中近東,2026,11485245.7057,203.1606,2357.905
general,ARE,中近東,2027,11544684.9264,202.7957,2356.6257
general,ARE,中近東,2028,11604431.7611,198.6022,2310.9324
general,ARE,中近東,2029,11664487.8016,201.5092,2347.9771
general,ARE,中近東,2030,11724854.6482,185.5992,2165.6781
general,ARE,中近東,2031,11785533.9094,191.3942,2236.59
general,ARE,中近東,2032,11846527.202,190.4211,2228.6024
general,ARE,中近東,2033,11907836.1513,191.0414,2239.3581
general,ARE,中近東,2034,11969462.3907,192.1617,2256.1017
general,ARE,中近東,2035,12031407.5624,186.5685,2194.0267
general,ARE,中近東,2036,12093673.317,189.1182,2227.7374
general,ARE,中近東,2037,12156261.3136,189.6719,2238.0752
general,ARE,中近東,2038,12219173.2197,183.655,2170.8433
general,ARE,中近東,2039,12282410.7118,183.5218,2173.1007
general,ARE,中近東,2040,12345975.4749,186.0693,2207.2151
general,ARE,中近東,2041,12409869.2026,183.2356,2177.5509
general,ARE,中近東,2042,12474093.5975,182.372,2171.2762
general,ARE,中近東,2043,12538650.3708,182.372,2175.3181
general,ARE,中近東,2044,12603541.2427,182.372,2179.4109
general,ARE,中近東,2045,12668767.9422,182.372,2183.552
general,ARE,中近東,2046,12734332.2074,195.1921,2341.5295
general,ARE,中近東,2047,12800235.7851,192.7797,2317.0615
general,ARE,中近東,2048,12866480.4316,192.7797,2321.5771
general,ARE,中近東,2049,12933067.9118,192.8204,2326.6263
general,ARE,中近東,2050,13000000.0,190.0544,2297.7819
general,ARG,中南米,2026,45973349.7587,50.0348,2316.031
general,ARG,中南米,2027,46095644.9758,64.539,2984.4046
general,ARG,中南米,2028,46218265.5144,65.8256,3040.9689
general,ARG,中南米,2029,46341212.2399,67.206,3101.8834
general,ARG,中南米,2030,46464486.0201,74.775,3448.1838
general,ARG,中南米,2031,46588087.7249,81.9835,3777.3966
general,ARG,中南米,2032,46712018.2266,81.6709,3759.9315
general,ARG,中南米,2033,46836278.4,77.4518,3562.9066
general,ARG,中南米,2034,46960869.1219,79.6228,3660.0156
general,ARG,中南米,2035,47085791.2717,75.8767,3485.2891
general,ARG,中南米,2036,47211045.731,78.9964,3626.0462
general,ARG,中南米,2037,47336633.3837,81.9307,3758.1854
general,ARG,中南米,2038,47462555.1164,83.4071,3823.4034
general,ARG,中南米,2039,47588811.8175,82.9857,3801.6762
general,ARG,中南米,2040,47715404.3783,84.5148,3869.3442
general,ARG,中南米,2041,47842333.6921,85.9496,3932.6833
general,ARG,中南米,2042,47969600.6547,86.82,3970.203
general,ARG,中南米,2043,48097206.1644,81.2865,3715.0566
general,ARG,中南米,2044,48225151.1216,81.5651,3725.7408
general,ARG,中南米,2045,48353436.4294,81.0621,3700.7768
general,ARG,中南米,2046,48482062.9932,88.2217,4025.5236
general,ARG,中南米,2047,48611031.7208,88.391,4031.1839
general,ARG,中南米,2048,48740343.5223,87.9245,4007.8963
general,ARG,中南米,2049,48869999.3103,88.2702,4021.6803
general,ARG,中南米,2050,49000000.0,87.7716,3997.0381
general,AUS,オセアニア,2026,27192458.0735,175.4168,5324.977
general,AUS,オセアニア,2027,27412661.0134,156.4634,4737.7148
general,AUS,オセアニア,2028,27634647.1439,155.2559,4691.7423
general,AUS,オセアニア,2029,27858430.9051,153.5521,4633.1582
general,AUS,オセアニア,2030,28084026.8542,151.0476,4552.628
general,AUS,オセアニア,2031,28311449.6661,152.1373,4582.3677
general,AUS,オセアニア,2032,28540714.1347,151.0243,4547.5102
general,AUS,オセアニア,2033,28771835.1736,151.7502,4569.6667
general,AUS,オセアニア,2034,29004827.8172,159.8407,4815.2214
general,AUS,オセアニア,2035,29239707.2216,153.4693,4626.5765
general,AUS,オセアニア,2036,29476488.6658,151.2634,4564.6523
general,AUS,オセアニア,2037,29715187.5522,151.2634,4570.4761
general,AUS,オセアニア,2038,29955819.4084,161.9293,4900.2368
general,AUS,オセアニア,2039,30198399.8872,161.0474,4882.1592
general,AUS,オセアニア,2040,30442944.7687,172.0651,5226.5303
general,AUS,オセアニア,2041,30689469.9603,170.9988,5205.5369
general,AUS,オセアニア,2042,30937991.4986,169.8672,5183.4306
general,AUS,オセアニア,2043,31188525.5498,171.5504,5248.226
general,AUS,オセアニア,2044,31441088.4111,172.5238,5292.437
general,AUS,オセアニア,2045,31695696.5118,170.7863,5254.2798
general,AUS,オセアニア,2046,31952366.414,170.6412,5265.7598
general,AUS,オセアニア,2047,32211114.8141,167.7553,5193.1304
general,AUS,オセアニア,2048,32471958.5437,167.7553,5210.2684
general,AUS,オセアニア,2049,32734914.5705,167.7553,5228.0813
general,AUS,オセアニア,2050,33000000.0,166.541,5208.557
general,BRA,中南米,2026,212978339.0628,70.0689,11395.71
general,BRA,中南米,2027,213144410.5201,71.477,11807.8792
general,BRA,中南米,2028,213310611.4729,70.2348,11771.392
general,BRA,中南米,2029,213476942.0222,74.2547,12612.0324
general,BRA,中南米,2030,213643402.2689,74.6501,12835.8584
general,BRA,中南米,2031,213809992.3143,75.216,13080.2389
general,BRA,中南米,2032,213976712.2595,80.0051,14058.573
general,BRA,中南米,2033,214143562.2058,87.8597,15587.0372
general,BRA,中南米,2034,214310542.2546,85.3123,15268.4033
general,BRA,中南米,2035,214477652.5074,85.48,15421.7861
general,BRA,中南米,2036,214644893.0657,85.2907,15501.0686
general,BRA,中南米,2037,214812264.031,93.388,17086.8724
general,BRA,中南米,2038,214979765.5051,95.8858,17651.341
general,BRA,中南米,2039,215147397.5897,95.2167,17625.6833
general,BRA,中南米,2040,215315160.3867,94.2329,17531.4943
general,BRA,中南米,2041,215483053.998,94.9522,17745.7451
general,BRA,中南米,2042,215651078.5256,90.9558,17068.4845
general,BRA,中南米,2043,215819234.0716,94.6268,17822.605
general,BRA,中南米,2044,215987520.7381,95.7491,18093.0657
general,BRA,中南米,2045,216155938.6275,97.0701,18396.0239
general,BRA,中南米,2046,216324487.8419,95.4662,18138.4361
general,BRA,中南米,2047,216493168.4838,95.7303,18229.4099
general,BRA,中南米,2048,216661980.6558,93.5244,17843.9335
general,BRA,中南米,2049,216830924.4603,94.5384,18067.3946
general,BRA,中南米,2050,217000000.0,98.9117,18929.6997
general,CAN,北米,2026,40311123.1557,130.8348,5639.032
general,CAN,北米,2027,40496365.6662,132.2153,5680.8868
