category,iso3,region,year,population,pred_per_mn,units
general,ARE,中近東,2026,11485245.7057,204.2302,2350.81
general,ARE,中近東,2027,11544684.9264,209.1609,2404.1809
general,ARE,中近東,2028,11604431.7611,200.308,2299.2697
general,ARE,中近東,2029,11664487.8016,198.2102,2272.1535
general,ARE,中近東,2030,11724854.6482,189.5614,2170.1784
general,ARE,中近東,2031,11785533.9094,184.8875,2113.9762
general,ARE,中近東,2032,11846527.202,185.1262,2114.0704
general,ARE,中近東,2033,11907836.1513,188.4044,2148.8847
general,ARE,中近東,2034,11969462.3907,193.8316,2208.1453
general,ARE,中近東,2035,12031407.5624,198.1593,2254.8021
general,ARE,中近東,2036,12093673.317,196.7587,2236.2891
general,ARE,中近東,2037,12156261.3136,190.31,2160.5495
general,ARE,中近東,2038,12219173.2197,185.9959,2109.2231
general,ARE,中近東,2039,12282410.7118,185.0958,2096.717
general,ARE,中近東,2040,12345975.4749,187.2395,2118.7114
general,ARE,中近東,2041,12409869.2026,185.1069,2092.3501
general,ARE,中近東,2042,12474093.5975,184.135,2079.1787
general,ARE,中近東,2043,12538650.3708,184.135,2077.0221
general,ARE,中近東,2044,12603541.2427,195.2289,2199.9031
general,ARE,中近東,2045,12668767.9422,195.2289,2197.673
general,ARE,中近東,2046,12734332.2074,196.9339,2214.641
general,ARE,中近東,2047,12800235.7851,193.2364,2170.9025
general,ARE,中近東,2048,12866480.4316,193.2364,2168.7661
general,ARE,中近東,2049,12933067.9118,193.2772,2167.1076
general,ARE,中近東,2050,13000000.0,193.767,2170.4972
general,ARG,中南米,2026,45973349.7587,50.0348,2309.062
general,ARG,中南米,2027,46095644.9758,65.4754,3009.5124
general,ARG,中南米,2028,46218265.5144,66.5794,3048.1132
general,ARG,中南米,2029,46341212.2399,62.4638,2848.4608
general,ARG,中南米,2030,46464486.0201,79.632,3617.241
general,ARG,中南米,2031,46588087.7249,81.8905,3705.5005
general,ARG,中南米,2032,46712018.2266,82.7178,3728.6373
general,ARG,中南米,2033,46836278.4,79.3399,3562.8226
general,ARG,中南米,2034,46960869.1219,80.5616,3604.0838
general,ARG,中南米,2035,47085791.2717,79.652,3550.0899
general,ARG,中南米,2036,47211045.731,81.3469,3612.1892
general,ARG,中南米,2037,47336633.3837,82.9531,3669.9395
general,ARG,中南米,2038,47462555.1164,83.525,3681.7121
general,ARG,中南米,2039,47588811.8175,83.3863,3662.2143
general,ARG,中南米,2040,47715404.3783,85.6182,3746.6121
general,ARG,中南米,2041,47842333.6921,85.0874,3709.9639
general,ARG,中南米,2042,47969600.6547,85.1377,3698.8391
general,ARG,中南米,2043,48097206.1644,84.9956,3679.4752
general,ARG,中南米,2044,48225151.1216,86.1753,3717.2731
general,ARG,中南米,2045,48353436.4294,84.0964,3614.7366
general,ARG,中南米,2046,48482062.9932,88.5302,3791.8789
general,ARG,中南米,2047,48611031.7208,89.4914,3819.5551
general,ARG,中南米,2048,48740343.5223,89.2196,3794.5912
general,ARG,中南米,2049,48869999.3103,100.2153,4247.3392
general,ARG,中南米,2050,49000000.0,107.7091,4549.0135
general,AUS,オセアニア,2026,27192458.0735,178.0797,5308.954
general,AUS,オセアニア,2027,27412661.0134,157.1142,4662.8231
general,AUS,オセアニア,2028,27634647.1439,153.751,4544.4507
general,AUS,オセアニア,2029,27858430.9051,149.0954,4390.7192
general,AUS,オセアニア,2030,28084026.8542,149.3492,4383.7759
general,AUS,オセアニア,2031,28311449.6661,154.9116,4533.762
general,AUS,オセアニア,2032,28540714.1347,146.4519,4275.073
general,AUS,オセアニア,2033,28771835.1736,147.7727,4303.7927
general,AUS,オセアニア,2034,29004827.8172,148.8825,4327.4857
general,AUS,オセアニア,2035,29239707.2216,153.7084,4460.0702
general,AUS,オセアニア,2036,29476488.6658,153.3317,4442.6074
general,AUS,オセアニア,2037,29715187.5522,165.3448,4784.763
general,AUS,オセアニア,2038,29955819.4084,165.3448,4779.9123
general,AUS,オセアニア,2039,30198399.8872,174.5556,5042.1047
general,AUS,オセアニア,2040,30442944.7687,174.5484,5038.7814
general,AUS,オセアニア,2041,30689469.9603,176.2316,5085.1344
general,AUS,オセアニア,2042,30937991.4986,175.4627,5061.5667
general,AUS,オセアニア,2043,31188525.5498,175.7833,5070.2198
general,AUS,オセアニア,2044,31441088.4111,174.021,5019.5249
general,AUS,オセアニア,2045,31695696.5118,167.5952,4834.9645
general,AUS,オセアニア,2046,31952366.414,168.3889,4859.2628
general,AUS,オセアニア,2047,32211114.8141,167.0094,4821.4158
general,AUS,オセアニア,2048,32471958.5437,169.1111,4884.6113
general,AUS,オセアニア,2049,32734914.5705,168.3575,4865.8543
general,AUS,オセアニア,2050,33000000.0,168.537,4874.5264
general,BRA,中南米,2026,212978339.0628,69.7746,11361.42
general,BRA,中南米,2027,213144410.5201,72.9939,12033.1678
general,BRA,中南米,2028,213310611.4729,72.1912,12034.4113
general,BRA,中南米,2029,213476942.0222,74.3363,12517.3288
general,BRA,中南米,2030,213643402.2689,74.0167,12576.6556
general,BRA,中南米,2031,213809992.3143,72.4258,12406.2086
general,BRA,中南米,2032,213976712.2595,80.2779,13850.4596
general,BRA,中南米,2033,214143562.2058,79.4163,13789.1811
general,BRA,中南米,2034,214310542.2546,85.4697,14923.3104
general,BRA,中南米,2035,214477652.5074,85.6149,15021.4299
