category,iso3,region,year,population,pred_per_mn,units
general,ARE,中近東,2026,11471260.9674,204.1715,2362.635
general,ARE,中近東,2027,11516587.8167,199.7488,2316.759
general,ARE,中近東,2028,11562093.7678,195.5052,2272.8417
general,ARE,中近東,2029,11607779.5283,194.6309,2268.0596
general,ARE,中近東,2030,11653645.8088,179.3062,2094.5291
general,ARE,中近東,2031,11699693.3226,185.7387,2174.9894
general,ARE,中近東,2032,11745922.7857,186.5549,2189.9774
general,ARE,中近東,2033,11792334.9172,182.3756,2146.3036
general,ARE,中近東,2034,11838930.4387,182.8804,2157.7228
general,ARE,中近東,2035,11885710.075,183.078,2165.6092
general,ARE,中近東,2036,11932674.5536,183.1111,2171.6269
general,ARE,中近東,2037,11979824.6047,183.1111,2177.3182
general,ARE,中近東,2038,12027160.9617,178.8935,2132.7898
general,ARE,中近東,2039,12074684.3607,176.1311,2105.4478
general,ARE,中近東,2040,12122395.5409,182.6207,2188.8781
general,ARE,中近東,2041,12170295.2441,180.488,2169.1567
general,ARE,中近東,2042,12218384.2153,180.0282,2169.5078
general,ARE,中近東,2043,12266663.2024,178.1338,2152.5428
general,ARE,中近東,2044,12315132.9561,177.9975,2156.8035
general,ARE,中近東,2045,12363794.2303,177.9167,2161.7739
general,ARE,中近東,2046,12412647.7818,176.1173,2145.8424
general,ARE,中近東,2047,12461694.3702,176.1173,2151.8165
general,ARE,中近東,2048,12510934.7584,176.3534,2160.7245
general,ARE,中近東,2049,12560369.712,176.8495,2172.8807
general,ARE,中近東,2050,12610000.0,176.4395,2173.9445
general,ARG,中南米,2026,45917371.3948,48.9554,2320.677
general,ARG,中南米,2027,45983458.7702,55.6342,2632.6305
general,ARG,中南米,2028,46049641.2631,65.5634,3097.476
general,ARG,中南米,2029,46115919.0103,66.4722,3135.7732
general,ARG,中南米,2030,46182292.1489,67.7253,3190.5779
general,ARG,中南米,2031,46248760.8162,52.9153,2489.8073
general,ARG,中南米,2032,46315325.1496,72.7838,3420.8464
general,ARG,中南米,2033,46381985.287,70.6204,3315.8012
general,ARG,中南米,2034,46448741.3661,71.188,3339.388
general,ARG,中南米,2035,46515593.525,73.5919,3449.3037
general,ARG,中南米,2036,46582541.9021,74.4474,3486.8154
general,ARG,中南米,2037,46649586.6358,74.1153,3468.962
general,ARG,中南米,2038,46716727.8648,74.3946,3479.9832
general,ARG,中南米,2039,46783965.728,74.4767,3482.0124
general,ARG,中南米,2040,46851300.3644,76.0058,3551.8828
general,ARG,中南米,2041,46918731.9134,76.5236,3574.6624
general,ARG,中南米,2042,46986260.5144,76.5236,3573.4462
general,ARG,中南米,2043,47053886.3072,76.5236,3572.4165
general,ARG,中南米,2044,47121609.4315,77.7295,3627.8445
general,ARG,中南米,2045,47189430.0275,76.9636,3591.3979
general,ARG,中南米,2046,47257348.2355,84.6318,3948.6267
general,ARG,中南米,2047,47325364.1959,83.5115,3895.9187
general,ARG,中南米,2048,47393478.0495,83.2397,3882.9438
general,ARG,中南米,2049,47461689.9372,83.2397,3882.7838
general,ARG,中南米,2050,47530000.0,83.2397,3882.7484
general,AUS,オセアニア,2026,27159347.819,191.9871,5335.659
general,AUS,オセアニア,2027,27345944.8969,159.9519,4464.225
general,AUS,オセアニア,2028,27533823.9817,154.855,4340.7934
general,AUS,オセアニア,2029,27722993.8812,156.7702,4414.0619
general,AUS,オセアニア,2030,27913463.4641,151.5996,4287.899
general,AUS,オセアニア,2031,28105241.6596,148.7951,4228.0959
general,AUS,オセアニア,2032,28298337.4587,149.7685,4275.8447
general,AUS,オセアニア,2033,28492759.9137,152.9052,4386.3358
general,AUS,オセアニア,2034,28688518.1395,145.9944,4208.4757
general,AUS,オセアニア,2035,28885621.3133,147.5909,4275.4908
general,AUS,オセアニア,2036,29084078.6757,147.0551,4281.2573
general,AUS,オセアニア,2037,29283899.5304,155.4982,4549.9488
general,AUS,オセアニア,2038,29485093.2453,147.0656,4325.192
general,AUS,オセアニア,2039,29687669.2526,147.5617,4362.1728
general,AUS,オセアニア,2040,29891637.0493,146.7582,4361.0108
general,AUS,オセアニア,2041,30097006.1975,145.5813,4348.7525
general,AUS,オセアニア,2042,30303786.3252,144.9285,4352.1606
general,AUS,オセアニア,2043,30511987.1265,155.5944,4697.3604
general,AUS,オセアニア,2044,30721618.362,155.0962,4707.4431
general,AUS,オセアニア,2045,30932689.8595,154.2522,4707.1053
general,AUS,オセアニア,2046,31145211.5143,164.8604,5058.1367
general,AUS,オセアニア,2047,31359193.2895,163.2939,5037.4254
general,AUS,オセアニア,2048,31574645.2169,167.1538,5184.79
general,AUS,オセアニア,2049,31791577.3971,167.1538,5213.3661
general,AUS,オセアニア,2050,32010000.0,165.2927,5183.8545
general,BRA,中南米,2026,212719011.0166,71.9415,11418.57
general,BRA,中南米,2027,212625666.0127,71.6896,11586.4539
general,BRA,中南米,2028,212532361.9703,71.4846,11749.0028
general,BRA,中南米,2029,212439098.8714,71.4398,11925.9237
general,BRA,中南米,2030,212345876.6981,75.7328,12826.3924
general,BRA,中南米,2031,212252695.4324,78.4422,13464.1007
general,BRA,中南米,2032,212159555.0564,75.8419,13179.937
general,BRA,中南米,2033,212066455.552,76.4803,13443.9888
general,BRA,中南米,2034,211973396.9014,79.561,14134.4223
general,BRA,中南米,2035,211880379.0867,80.0803,14366.5804
general,BRA,中南米,2036,211787402.0898,78.2151,14159.289
general,BRA,中南米,2037,211694465.893,79.8263,14571.8774
general,BRA,中南米,2038,211601570.4783,81.1251,14923.0851
general,BRA,中南米,2039,211508715.8278,81.086,15021.6896
general,BRA,中南米,2040,211415901.9237,80.9298,15090.4739
general,BRA,中南米,2041,211323128.7479,80.1232,15029.4871
general,BRA,中南米,2042,211230396.2828,79.457,14986.2606
general,BRA,中南米,2043,211137704.5103,83.3953,15808.0202
general,BRA,中南米,2044,211045053.4127,91.5982,17442.5463
general,BRA,中南米,2045,210952442.9721,75.9305,14519.4985
general,BRA,中南米,2046,210859873.1707,94.2907,18098.9323
general,BRA,中南米,2047,210767343.9906,93.4789,18005.0606
general,BRA,中南米,2048,210674855.414,94.9209,18339.9124
general,BRA,中南米,2049,210582407.4231,95.2091,18447.4437
general,BRA,中南米,2050,210490000.0,92.8383,18033.6364
general,CAN,北米,2026,40262039.2684,130.8348,5650.344
general,CAN,北米,2027,40397806.8196,132.3369,5701.5287
general,CAN,北米,2028,40534032.1924,130.0653,5592.0279
general,CAN,北米,2029,40670716.9305,127.0778,5453.8629
general,CAN,北米,2030,40807862.583,126.4519,5418.8492
general,CAN,北米,2031,40945470.7041,131.8201,5641.874
general,CAN,北米,2032,41083542.8533,139.7073,5973.4533
general,CAN,北米,2033,41222080.5953,138.1936,5904.145
general,CAN,北米,2034,41361085.5003,138.9612,5933.5778
general,CAN,北米,2035,41500559.1434,140.6385,6002.9769
general,CAN,北米,2036,41640503.1053,145.2104,6196.9688
general,CAN,北米,2037,41780918.972,140.1685,5981.7059
general,CAN,北米,2038,41921808.3349,140.1547,5981.9781
general,CAN,北米,2039,42063172.7904,140.1547,5983.7288
general,CAN,北米,2040,42205013.9409,134.3396,5737.9352
general,CAN,北米,2041,42347333.3936,134.1083,5731.2725
general,CAN,北米,2042,42490132.7615,134.1083,5735.1818
general,CAN,北米,2043,42633413.6628,142.5515,6101.1011
general,CAN,北米,2044,42777177.7215,136.2303,5835.8081
general,CAN,北米,2045,42921426.5667,135.8721,5826.2743
general,CAN,北米,2046,43066161.8331,134.1403,5758.2883
general,CAN,北米,2047,43211385.1611,134.1403,5765.0589
general,CAN,北米,2048,43357098.1964,136.1392,5858.3135
general,CAN,北米,2049,43503302.5904,150.0563,6465.7802
general,CAN,北米,2050,43650000.0,150.0563,6474.8301
general,CHL,中南米,2026,19860921.6323,96.4386,2080.917
general,CHL,中南米,2027,19861924.3153,104.2368,2234.4589
general,CHL,中南米,2028,19862927.0489,96.6643,2059.3387
general,CHL,中南米,2029,19863929.8331,95.8833,2030.8037
general,CHL,中南米,2030,19864932.6679,96.1434,2025.1143
general,CHL,中南米,2031,19865935.5534,95.7785,2006.9485
general,CHL,中南米,2032,19866938.4895,93.449,1948.5203
general,CHL,中南米,2033,19867941.4762,93.449,1939.4671
general,CHL,中南米,2034,19868944.5136,93.3434,1928.7531
general,CHL,中南米,2035,19869947.6016,94.9377,1953.5193
general,CHL,中南米,2036,19870950.7402,94.9377,1945.7966
general,CHL,中南米,2037,19871953.9295,94.9377,1938.4952
general,CHL,中南米,2038,19872957.1695,94.9377,1931.5847
general,CHL,中南米,2039,19873960.46,95.1614,1929.5714
general,CHL,中南米,2040,19874963.8013,95.1614,1923.3452
general,CHL,中南米,2041,19875967.1932,95.1219,1916.6357
general,CHL,中南米,2042,19876970.6357,94.3485,1895.4793
general,CHL,中南米,2043,19877974.1289,95.4215,1911.6689
general,CHL,中南米,2044,19878977.6728,93.3844,1865.8506
general,CHL,中南米,2045,19879981.2673,93.1048,1855.502
general,CHL,中南米,2046,19880984.9125,88.444,1758.2922
general,CHL,中南米,2047,19881988.6084,88.444,1754.1568
general,CHL,中南米,2048,19882992.3549,89.0904,1762.989
general,CHL,中南米,2049,19883996.1521,91.806,1812.7837
general,CHL,中南米,2050,19885000.0,91.9915,1812.6513
general,CHN,中国,2026,1407779726.973,98.1321,130432.437
general,CHN,中国,2027,1399512200.8123,111.8707,148231.6378
general,CHN,中国,2028,1391293227.694,111.9312,147813.9637
general,CHN,中国,2029,1383122522.4787,125.1379,164660.8156
general,CHN,中国,2030,1374999801.7015,115.1413,150929.5806
general,CHN,中国,2031,1366924783.5621,132.7788,173350.0939
general,CHN,中国,2032,1358897187.9154,133.8865,174060.7303
general,CHN,中国,2033,1350916736.2613,132.6053,171639.0645
general,CHN,中国,2034,1342983151.7353,131.0592,168865.6339
general,CHN,中国,2035,1335096159.0988,126.5838,162331.3837
general,CHN,中国,2036,1327255484.7299,131.3689,167650.3848
general,CHN,中国,2037,1319460856.6132,131.8878,167473.2549
general,CHN,中国,2038,1311712004.3311,130.4076,164746.8764
general,CHN,中国,2039,1304008659.0539,129.6767,162966.6062
general,CHN,中国,2040,1296350553.5308,133.3525,166691.1416
general,CHN,中国,2041,1288737422.0803,135.9611,169026.8883
general,CHN,中国,2042,1281169000.5814,136.2777,168482.2243
general,CHN,中国,2043,1273645026.4642,135.7157,166843.257
general,CHN,中国,2044,1266165238.7005,131.1422,160300.1992
general,CHN,中国,2045,1258729377.7955,129.1493,156950.4679
general,CHN,中国,2046,1251337185.7779,134.6273,162648.9376
general,CHN,中国,2047,1243988406.1919,130.8759,157179.4936
general,CHN,中国,2048,1236682784.0872,132.8711,158619.7608
general,CHN,中国,2049,1229420066.0114,131.8244,156418.336
general,CHN,中国,2050,1222200000.0,132.5431,156311.0675
general,COD,アフリカ,2026,116095023.3149,4.6872,163.0858
general,COD,アフリカ,2027,119404047.8565,5.9556,230.7886
general,COD,アフリカ,2028,122807388.6151,6.344,272.3292
general,COD,アフリカ,2029,126307733.8599,6.3466,300.2774
general,COD,アフリカ,2030,129907848.4832,3.8355,199.0739
general,COD,アフリカ,2031,133610576.1842,3.9326,222.9344
general,COD,アフリカ,2032,137418841.7151,3.9326,242.4978
general,COD,アフリカ,2033,141335653.1918,4.4767,299.1315
general,COD,アフリカ,2034,145364104.4695,4.4767,322.989
general,COD,アフリカ,2035,149507377.5868,4.0261,312.61
general,COD,アフリカ,2036,153768745.279,3.7575,313.0038
general,COD,アフリカ,2037,158151573.5633,3.3562,299.068
general,COD,アフリカ,2038,162659324.3976,0.8551,81.2941
general,COD,アフリカ,2039,167295558.415,0.0,0.0
general,COD,アフリカ,2040,172063937.7363,3.0863,331.4955
general,COD,アフリカ,2041,176968228.8629,1.58,179.7792
general,COD,アフリカ,2042,182012305.6516,1.6563,199.2397
general,COD,アフリカ,2043,187200152.3746,0.2946,37.3882
general,COD,アフリカ,2044,192535866.8669,2.9248,391.0113
general,COD,アフリカ,2045,198023663.763,4.3343,609.3168
general,COD,アフリカ,2046,203667877.8256,4.4234,652.8762
general,COD,アフリカ,2047,209472967.3704,4.5637,706.183
general,COD,アフリカ,2048,215443517.7871,6.1916,1003.0956
general,COD,アフリカ,2049,221584245.1612,5.6389,955.2653
general,COD,アフリカ,2050,227900000.0,6.1286,1084.3726
