category,iso3,region,year,population,pred_per_mn,units
general,ARE,中近東,2026,11498833.341,208.5827,2355.54
general,ARE,中近東,2027,11572016.9945,208.2514,2359.5181
general,ARE,中近東,2028,11645666.4211,200.7397,2281.7319
general,ARE,中近東,2029,11719784.5852,195.1026,2224.6645
general,ARE,中近東,2030,11794374.47,190.8417,2182.8375
general,ARE,中近東,2031,11869439.0778,191.9943,2202.7265
general,ARE,中近東,2032,11944981.4298,191.0383,2198.3465
general,ARE,中近東,2033,12021004.5668,194.45,2244.2325
general,ARE,中近東,2034,12097511.5486,197.6339,2287.6395
general,ARE,中近東,2035,12174505.4546,196.5645,2281.8149
general,ARE,中近東,2036,12251989.3838,194.7781,2267.5094
general,ARE,中近東,2037,12329966.455,185.9418,2170.7254
general,ARE,中近東,2038,12408439.8067,182.6214,2137.8871
general,ARE,中近東,2039,12487412.5974,183.2842,2151.5459
general,ARE,中近東,2040,12566888.0059,184.9319,2176.7965
general,ARE,中近東,2041,12646869.231,195.7175,2309.9641
general,ARE,中近東,2042,12727359.4919,195.2577,2310.6957
general,ARE,中近東,2043,12808362.0284,190.1307,2255.9844
general,ARE,中近東,2044,12889880.1007,189.6068,2255.6837
general,ARE,中近東,2045,12971916.9901,189.6068,2261.5706
general,ARE,中近東,2046,13054475.9985,189.1253,2261.6739
general,ARE,中近東,2047,13137560.4489,189.9973,2277.952
general,ARE,中近東,2048,13221173.6854,195.7854,2353.3547
general,ARE,中近東,2049,13305319.0735,195.8262,2359.8335
general,ARE,中近東,2050,13390000.0,196.316,2371.7221
general,ARG,中南米,2026,46027738.5919,50.3585,2313.708
general,ARG,中南米,2027,46204776.5212,64.3912,2957.5036
general,ARG,中南米,2028,46382495.397,68.4934,3144.9506
general,ARG,中南米,2029,46560897.8384,79.1646,3633.8492
general,ARG,中南米,2030,46739986.4748,78.9874,3624.67
general,ARG,中南米,2031,46919763.9454,81.3821,3733.5112
general,ARG,中南米,2032,47100232.8996,83.4094,3825.4708
general,ARG,中南米,2033,47281395.9973,80.0813,3671.8503
general,ARG,中南米,2034,47463255.9082,80.1864,3675.716
general,ARG,中南米,2035,47645815.3126,81.3011,3725.8666
general,ARG,中南米,2036,47829076.901,83.0697,3805.9752
general,ARG,中南米,2037,48013043.3741,83.0697,3805.051
general,ARG,中南米,2038,48197717.4432,86.0042,3938.5278
general,ARG,中南米,2039,48383101.8299,84.6121,3873.8769
general,ARG,中南米,2040,48569199.2664,86.1887,3945.152
general,ARG,中南米,2041,48756012.4953,85.918,3931.8804
general,ARG,中南米,2042,48943544.2698,85.7233,3922.1023
general,ARG,中南米,2043,49131797.3536,85.2898,3901.4156
general,ARG,中南米,2044,49320774.5211,86.0908,3937.2109
general,ARG,中南米,2045,49510478.5573,88.7496,4057.9525
general,ARG,中南米,2046,49700912.2582,109.3384,4998.3007
general,ARG,中南米,2047,49892078.4301,110.8352,5065.6815
general,ARG,中南米,2048,50083979.8905,108.8066,4971.9531
general,ARG,中南米,2049,50276619.4674,108.8066,4970.9529
general,ARG,中南米,2050,50470000.0,109.2757,4991.3918
general,AUS,オセアニア,2026,27224628.1476,196.5186,5319.636
general,AUS,オセアニア,2027,27477560.5514,180.9822,4925.3771
general,AUS,オセアニア,2028,27732842.8422,176.9931,4842.6363
general,AUS,オセアニア,2029,27990496.8519,174.8142,4808.6281
general,AUS,オセアニア,2030,28250544.615,179.9931,4977.5585
general,AUS,オセアニア,2031,28513008.3709,175.11,4868.382
general,AUS,オセアニア,2032,28777910.5656,175.1914,4896.6299
general,AUS,オセアニア,2033,29045273.8536,176.1345,4949.2241
general,AUS,オセアニア,2034,29315121.0998,173.8529,4911.1243
general,AUS,オセアニア,2035,29587475.3816,180.5966,5128.765
general,AUS,オセアニア,2036,29862359.9909,185.2851,5289.8799
general,AUS,オセアニア,2037,30139798.4358,177.2395,5087.0519
general,AUS,オセアニア,2038,30419814.4428,176.721,5099.0913
general,AUS,オセアニア,2039,30702431.9591,177.487,5148.3527
general,AUS,オセアニア,2040,30987675.1542,174.3442,5083.9941
general,AUS,オセアニア,2041,31275568.4221,174.5038,5115.6014
general,AUS,オセアニア,2042,31566136.3835,177.2234,5222.8321
general,AUS,オセアニア,2043,31859403.8879,176.2862,5222.7027
general,AUS,オセアニア,2044,32155396.0155,175.1753,5217.2398
general,AUS,オセアニア,2045,32454138.0796,171.6099,5138.0716
general,AUS,オセアニア,2046,32755655.6288,187.3681,5639.523
general,AUS,オセアニア,2047,33059974.449,188.4613,5702.3902
general,AUS,オセアニア,2048,33367120.5654,184.3139,5606.3446
general,AUS,オセアニア,2049,33677120.2453,184.3139,5635.9376
general,AUS,オセアニア,2050,33990000.0,184.3139,5665.6773
general,BRA,中南米,2026,213230303.3729,71.5108,11384.28
general,BRA,中南米,2027,213649030.4017,72.4722,11738.1414
general,BRA,中南米,2028,214068579.6979,72.6921,11963.2095
general,BRA,中南米,2029,214488952.8761,74.3722,12421.6673
general,BRA,中南米,2030,214910151.5544,74.9486,12689.7344
general,BRA,中南米,2031,215332177.3536,80.914,13873.2055
general,BRA,中南米,2032,215755031.8982,80.849,14023.8319
general,BRA,中南米,2033,216178716.8155,80.0193,14029.0575
general,BRA,中南米,2034,216603233.7362,82.8357,14666.3666
general,BRA,中南米,2035,217028584.294,93.6009,16722.8765
general,BRA,中南米,2036,217454770.126,94.0908,16950.4708
general,BRA,中南米,2037,217881792.8725,93.5208,16976.3854
general,BRA,中南米,2038,218309654.177,94.0385,17189.5653
general,BRA,中南米,2039,218738355.6861,93.0849,17123.7355
general,BRA,中南米,2040,219167899.0498,94.8848,17556.2302
general,BRA,中南米,2041,219598285.9213,95.1986,17707.3242
general,BRA,中南米,2042,220029517.957,94.2818,17620.7908
general,BRA,中南米,2043,220461596.8165,96.1088,18040.0256
general,BRA,中南米,2044,220894524.1628,98.0415,18474.6105
general,BRA,中南米,2045,221328301.6621,97.8326,18499.83
general,BRA,中南米,2046,221762930.9839,97.8092,18553.3061
general,BRA,中南米,2047,222198413.8009,97.1561,18480.7016
general,BRA,中南米,2048,222634751.7891,101.4318,19341.4491
general,BRA,中南米,2049,223071946.628,107.101,20466.5348
general,BRA,中南米,2050,223510000.0,117.0095,22401.9202
general,CAN,北米,2026,40358813.2841,134.0541,5633.376
general,CAN,北米,2027,40592240.905,132.122,5545.4398
general,CAN,北米,2028,40827018.6263,125.4616,5260.5397
general,CAN,北米,2029,41063154.2569,132.0811,5533.497
general,CAN,北米,2030,41300655.6506,137.0722,5738.824
general,CAN,北米,2031,41539530.7067,138.8357,5809.7772
general,CAN,北米,2032,41779787.3702,145.0696,6068.5562
general,CAN,北米,2033,42021433.6321,146.601,6131.3719
general,CAN,北米,2034,42264477.5295,137.7242,5759.6983
general,CAN,北米,2035,42508927.1462,150.5249,6295.3486
general,CAN,北米,2036,42754790.6124,137.3917,5747.0317
general,CAN,北米,2037,43002076.1057,140.544,5880.4897
general,CAN,北米,2038,43250791.8508,154.3225,6459.3915
general,CAN,北米,2039,43500946.1199,173.6953,7273.6443
general,CAN,北米,2040,43752547.2333,182.0616,7628.1943
general,CAN,北米,2041,44005603.5592,182.9871,7671.8187
general,CAN,北米,2042,44260123.5142,175.5816,7366.5485
