year,copper_usd_t_real2010,ironore_usd_dmtu_real2010,coal_aus_usd_t_real2010,gold_usd_oz_real2010
1995,3194,30.9,42.8,418
1996,2545,33.3,42.2,430
1997,2650,35.1,40.8,385
1998,2013,37.7,35.6,358
1999,1952,34.2,32.1,346
2000,2279,36.2,33.0,351
2001,2061,39.2,42.2,354
2002,2061,38.7,33.4,410
2003,2235,40.1,32.8,457
2004,3370,44.6,62.3,481
2005,4195,74.1,54.3,507
2006,7475,77.1,54.6,672
2007,7459,128.9,68.9,730
2008,6764,151.7,123.6,848
2009,5339,82.9,74.5,1009
2010,7535,145.9,99.0,1225
2011,7950,151.1,109.4,1413
2012,7223,116.6,87.4,1515
2013,6681,123.3,77.0,1286
2014,6340,89.6,64.8,1169
2015,5630,57.1,60.2,1186
2016,5177,62.1,70.3,1328
2017,6342,73.8,91.0,1293
2018,6411,68.5,105.1,1246
2019,6042,94.3,78.3,1400
2020,6306,111.3,62.1,1808
2021,8516,147.8,126.2,1645
2022,7512,103.3,293.7,1533
2023,7441,105.7,151.4,1703
2024,7943,95.0,118.3,2074
2025,8568,86.3,93.4,2964
