region,category,year,units,installed_base
CIS,ミニショベル,1995,4826,40475
CIS,ミニショベル,1996,4355,39771
CIS,ミニショベル,1997,5163,39962
CIS,ミニショベル,1998,3052,38019
CIS,ミニショベル,1999,5526,38792
CIS,ミニショベル,2000,8593,42536
CIS,ミニショベル,2001,10215,47434
CIS,ミニショベル,2002,10513,52018
CIS,ミニショベル,2003,12869,58385
CIS,ミニショベル,2004,12875,63961
CIS,ミニショベル,2005,13507,69473
CIS,ミニショベル,2006,14134,74922
CIS,ミニショベル,2007,18809,84365
CIS,ミニショベル,2008,18359,92178
CIS,ミニショベル,2009,11726,92382
CIS,ミニショベル,2010,14767,95602
CIS,ミニショベル,2011,17106,100757
CIS,ミニショベル,2012,15708,103870
CIS,ミニショベル,2013,16121,107007
CIS,ミニショベル,2014,15173,108805
CIS,ミニショベル,2015,10553,105757
CIS,ミニショベル,2016,11195,103733
CIS,ミニショベル,2017,18329,109095
CIS,ミニショベル,2018,17359,112818
CIS,ミニショベル,2019,18451,117166
CIS,ミニショベル,2020,13774,116296
CIS,ミニショベル,2021,17340,119098
CIS,ミニショベル,2022,10078,114289
CIS,ミニショベル,2023,14193,114197
CIS,ミニショベル,2024,16354,116276
CIS,ミニショベル,2025,15546,117288
CIS,一般建機,1995,6907,71651
CIS,一般建機,1996,3875,69012
CIS,一般建機,1997,2432,65169
CIS,一般建機,1998,2230,61473
CIS,一般建機,1999,2212,58098
CIS,一般建機,2000,6099,58916
CIS,一般建機,2001,12149,65708
CIS,一般建機,2002,9491,69227
CIS,一般建機,2003,10514,73447
CIS,一般建機,2004,12571,79342
CIS,一般建機,2005,12120,84249
CIS,一般建機,2006,16672,93261
CIS,一般建機,2007,25617,110400
CIS,一般建機,2008,23630,123993
CIS,一般建機,2009,16520,129241
CIS,一般建機,2010,12103,129596
CIS,一般建機,2011,14328,132141
CIS,一般建機,2012,15769,135898
CIS,一般建機,2013,16947,140490
CIS,一般建機,2014,13815,141534
CIS,一般建機,2015,8029,136697
CIS,一般建機,2016,11470,135740
CIS,一般建機,2017,17720,141120
CIS,一般建機,2018,14745,143035
CIS,一般建機,2019,18988,149020
CIS,一般建機,2020,16754,152227
CIS,一般建機,2021,13632,152021
CIS,一般建機,2022,11217,149416
CIS,一般建機,2023,16272,152106
CIS,一般建機,2024,17115,155393
CIS,一般建機,2025,18105,159373
CIS,鉱山機械,1995,310,4900
CIS,鉱山機械,1996,368,4919
CIS,鉱山機械,1997,327,4895
CIS,鉱山機械,1998,359,4904
CIS,鉱山機械,1999,251,4805
CIS,鉱山機械,2000,195,4658
CIS,鉱山機械,2001,263,4589
CIS,鉱山機械,2002,346,4607
CIS,鉱山機械,2003,301,4579
CIS,鉱山機械,2004,344,4596
CIS,鉱山機械,2005,717,4984
CIS,鉱山機械,2006,978,5606
CIS,鉱山機械,2007,1400,6605
CIS,鉱山機械,2008,1535,7668
CIS,鉱山機械,2009,1533,8653
CIS,鉱山機械,2010,713,8748
CIS,鉱山機械,2011,1495,9619
CIS,鉱山機械,2012,1430,10361
CIS,鉱山機械,2013,1016,10638
CIS,鉱山機械,2014,809,10688
CIS,鉱山機械,2015,435,10360
CIS,鉱山機械,2016,363,9982
CIS,鉱山機械,2017,483,9754
CIS,鉱山機械,2018,800,9856
CIS,鉱山機械,2019,796,9949
CIS,鉱山機械,2020,719,9958
CIS,鉱山機械,2021,848,10095
CIS,鉱山機械,2022,1422,10797
CIS,鉱山機械,2023,1513,11538
CIS,鉱山機械,2024,951,11666
CIS,鉱山機械,2025,898,11730
アジア,ミニショベル,1995,1052,8482
アジア,ミニショベル,1996,1848,9271
アジア,ミニショベル,1997,2116,10228
アジア,ミニショベル,1998,1066,10017
アジア,ミニショベル,1999,1460,10224
アジア,ミニショベル,2000,2133,11080
アジア,ミニショベル,2001,2300,11991
アジア,ミニショベル,2002,2772,13266
アジア,ミニショベル,2003,3081,14689
アジア,ミニショベル,2004,3916,16768
アジア,ミニショベル,2005,4262,18935
アジア,ミニショベル,2006,4689,21257
アジア,ミニショベル,2007,5536,24135
アジア,ミニショベル,2008,6166,27284
アジア,ミニショベル,2009,5477,29351
アジア,ミニショベル,2010,7107,32790
アジア,ミニショベル,2011,7374,36066
アジア,ミニショベル,2012,8992,40548
アジア,ミニショベル,2013,9177,44659
アジア,ミニショベル,2014,10478,49555
アジア,ミニショベル,2015,11928,55287
アジア,ミニショベル,2016,13933,62311
アジア,ミニショベル,2017,15928,70451
アジア,ミニショベル,2018,18844,80488
アジア,ミニショベル,2019,19120,89548
