scenario_id,iso3,region,sub_region,year,population,urban_pct,urban_pop_mn,gdp_pc_ppp_const2021,gdp_ppp_bn,gdp_growth_pct,gfcf_pct_gdp,coal_prod_twh,copper_usd_t_real2010,ironore_usd_dmtu_real2010,coal_aus_usd_t_real2010,gold_usd_oz_real2010
S1_BASE,ARE,中近東,中近東,2026,11485245.7057,86.1862,9.8987,69673.6716,800.2192,0.477,28.646,0.0,8653.68,85.8685,91.999,2964.0
S1_BASE,ARE,中近東,中近東,2027,11544684.9264,86.4022,9.9749,69741.5895,805.1447,0.6155,28.391,0.0,8740.2168,85.4392,90.619,2964.0
S1_BASE,ARE,中近東,中近東,2028,11604431.7611,86.6102,10.0506,69905.6879,811.2158,0.754,28.1476,0.0,8827.619,85.012,89.2597,2964.0
S1_BASE,ARE,中近東,中近東,2029,11664487.8016,86.8105,10.126,70166.513,818.4564,0.8926,27.9151,0.0,8915.8952,84.5869,87.9208,2964.0
S1_BASE,ARE,中近東,中近東,2030,11724854.6482,87.0034,10.201,70525.0112,826.8955,1.0311,27.6932,0.0,9005.0541,84.164,86.602,2964.0
S1_BASE,ARE,中近東,中近東,2031,11785533.9094,87.1891,10.2757,70982.5352,836.5671,1.1696,27.4812,0.0,9095.1047,83.7431,85.303,2964.0
S1_BASE,ARE,中近東,中近東,2032,11846527.202,87.3678,10.3501,71540.8519,847.5106,1.3082,27.2789,0.0,9186.0557,83.3244,84.0234,2964.0
S1_BASE,ARE,中近東,中近東,2033,11907836.1513,87.54,10.4241,72202.154,859.7714,1.4467,27.0856,0.0,9277.9163,82.9078,82.7631,2964.0
S1_BASE,ARE,中近東,中近東,2034,11969462.3907,87.7057,10.4979,72969.0745,873.4006,1.5852,26.9011,0.0,9370.6954,82.4933,81.5216,2964.0
S1_BASE,ARE,中近東,中近東,2035,12031407.5624,87.8653,10.5714,73844.7034,888.4557,1.7237,26.725,0.0,9464.4024,82.0808,80.2988,2964.0
S1_BASE,ARE,中近東,中近東,2036,12093673.317,88.0189,10.6447,74730.8398,903.7704,1.7237,26.5567,0.0,9559.0464,81.6704,79.0943,2964.0
S1_BASE,ARE,中近東,中近東,2037,12156261.3136,88.1669,10.7178,75627.6099,919.349,1.7237,26.3961,0.0,9654.6369,81.262,77.9079,2964.0
S1_BASE,ARE,中近東,中近東,2038,12219173.2197,88.3093,10.7907,76535.1412,935.1961,1.7237,26.2428,0.0,9751.1832,80.8557,76.7393,2964.0
S1_BASE,ARE,中近東,中近東,2039,12282410.7118,88.4465,10.8634,77453.5629,951.3165,1.7237,26.0963,0.0,9848.6951,80.4515,75.5882,2964.0
S1_BASE,ARE,中近東,中近東,2040,12345975.4749,88.5785,10.9359,78383.0056,967.7147,1.7237,25.9565,0.0,9947.182,80.0492,74.4544,2964.0
S1_BASE,ARE,中近東,中近東,2041,12409869.2026,88.7057,11.0083,79323.6017,984.3955,1.7237,25.823,0.0,10046.6538,79.649,73.3376,2964.0
S1_BASE,ARE,中近東,中近東,2042,12474093.5975,88.8281,11.0805,80275.4849,1001.3639,1.7237,25.6955,0.0,10147.1204,79.2507,72.2375,2964.0
S1_BASE,ARE,中近東,中近東,2043,12538650.3708,88.946,11.1526,81238.7908,1018.6248,1.7237,25.5738,0.0,10248.5916,78.8545,71.154,2964.0
S1_BASE,ARE,中近東,中近東,2044,12603541.2427,89.0595,11.2246,82213.6562,1036.1832,1.7237,25.4576,0.0,10351.0775,78.4602,70.0866,2964.0
S1_BASE,ARE,中近東,中近東,2045,12668767.9422,89.1687,11.2966,83200.2201,1054.0443,1.7237,25.3466,0.0,10454.5883,78.0679,69.0353,2964.0
S1_BASE,ARE,中近東,中近東,2046,12734332.2074,89.274,11.3684,84198.6228,1072.2132,1.7237,25.2406,0.0,10559.1341,77.6775,67.9998,2964.0
S1_BASE,ARE,中近東,中近東,2047,12800235.7851,89.3753,11.4402,85209.0062,1090.6954,1.7237,25.1394,0.0,10664.7255,77.2892,66.9798,2964.0
S1_BASE,ARE,中近東,中近東,2048,12866480.4316,89.4728,11.512,86231.5143,1109.4961,1.7237,25.0428,0.0,10771.3727,76.9027,65.9751,2964.0
S1_BASE,ARE,中近東,中近東,2049,12933067.9118,89.5667,11.5837,87266.2925,1128.6209,1.7237,24.9506,0.0,10879.0865,76.5182,64.9855,2964.0
S1_BASE,ARE,中近東,中近東,2050,13000000.0,89.6571,11.6554,88313.488,1148.0753,1.7237,24.8625,0.0,10987.8773,76.1356,64.0107,2964.0
