scenario_id,year,copper_usd_t_real2010,ironore_usd_dmtu_real2010,coal_aus_usd_t_real2010,gold_usd_oz_real2010
S1_BASE,2026,8653.68,85.87,92.0,2964.0
S1_BASE,2027,8740.22,85.44,90.62,2964.0
S1_BASE,2028,8827.62,85.01,89.26,2964.0
S1_BASE,2029,8915.9,84.59,87.92,2964.0
S1_BASE,2030,9005.05,84.16,86.6,2964.0
S1_BASE,2031,9095.1,83.74,85.3,2964.0
S1_BASE,2032,9186.06,83.32,84.02,2964.0
S1_BASE,2033,9277.92,82.91,82.76,2964.0
S1_BASE,2034,9370.7,82.49,81.52,2964.0
S1_BASE,2035,9464.4,82.08,80.3,2964.0
S1_BASE,2036,9559.05,81.67,79.09,2964.0
S1_BASE,2037,9654.64,81.26,77.91,2964.0
S1_BASE,2038,9751.18,80.86,76.74,2964.0
S1_BASE,2039,9848.7,80.45,75.59,2964.0
S1_BASE,2040,9947.18,80.05,74.45,2964.0
S1_BASE,2041,10046.65,79.65,73.34,2964.0
S1_BASE,2042,10147.12,79.25,72.24,2964.0
S1_BASE,2043,10248.59,78.85,71.15,2964.0
S1_BASE,2044,10351.08,78.46,70.09,2964.0
S1_BASE,2045,10454.59,78.07,69.04,2964.0
S1_BASE,2046,10559.13,77.68,68.0,2964.0
S1_BASE,2047,10664.73,77.29,66.98,2964.0
S1_BASE,2048,10771.37,76.9,65.98,2964.0
S1_BASE,2049,10879.09,76.52,64.99,2964.0
S1_BASE,2050,10987.88,76.14,64.01,2964.0
S2_NETZERO,2026,8782.2,86.04,88.73,2964.0
S2_NETZERO,2027,9001.75,85.78,84.29,2964.0
S2_NETZERO,2028,9226.8,85.53,80.08,2964.0
S2_NETZERO,2029,9457.47,85.27,76.07,2964.0
S2_NETZERO,2030,9693.91,85.01,72.27,2964.0
S2_NETZERO,2031,9936.25,84.76,68.66,2964.0
S2_NETZERO,2032,10184.66,84.5,65.22,2964.0
S2_NETZERO,2033,10439.28,84.25,61.96,2964.0
S2_NETZERO,2034,10700.26,84.0,58.87,2964.0
S2_NETZERO,2035,10967.76,83.75,55.92,2964.0
S2_NETZERO,2036,11241.96,83.49,53.13,2964.0
S2_NETZERO,2037,11523.01,83.24,50.47,2964.0
S2_NETZERO,2038,11811.08,82.99,47.95,2964.0
S2_NETZERO,2039,12106.36,82.75,45.55,2964.0
S2_NETZERO,2040,12409.02,82.5,43.27,2964.0
S2_NETZERO,2041,12719.24,82.25,41.11,2964.0
S2_NETZERO,2042,13037.23,82.0,39.05,2964.0
S2_NETZERO,2043,13363.16,81.76,37.1,2964.0
S2_NETZERO,2044,13697.23,81.51,35.24,2964.0
S2_NETZERO,2045,14039.67,81.27,33.48,2964.0
S2_NETZERO,2046,14390.66,81.02,31.81,2964.0
S2_NETZERO,2047,14750.42,80.78,30.22,2964.0
S2_NETZERO,2048,15119.18,80.54,28.71,2964.0
S2_NETZERO,2049,15497.16,80.3,27.27,2964.0
S2_NETZERO,2050,15884.59,80.06,25.91,2964.0
S3_FRAGMENT,2026,8610.84,85.44,92.47,3008.46
S3_FRAGMENT,2027,8653.89,84.58,91.54,3053.59
S3_FRAGMENT,2028,8697.16,83.74,90.63,3099.39
S3_FRAGMENT,2029,8740.65,82.9,89.72,3145.88
S3_FRAGMENT,2030,8784.35,82.07,88.82,3193.07
S3_FRAGMENT,2031,8828.27,81.25,87.93,3240.97
S3_FRAGMENT,2032,8872.42,80.44,87.05,3289.58
S3_FRAGMENT,2033,8916.78,79.63,86.18,3338.92
S3_FRAGMENT,2034,8961.36,78.84,85.32,3389.01
S3_FRAGMENT,2035,9006.17,78.05,84.47,3439.84
S3_FRAGMENT,2036,9051.2,77.27,83.62,3491.44
S3_FRAGMENT,2037,9096.46,76.5,82.79,3543.81
S3_FRAGMENT,2038,9141.94,75.73,81.96,3596.97
S3_FRAGMENT,2039,9187.65,74.97,81.14,3650.92
S3_FRAGMENT,2040,9233.59,74.22,80.33,3705.69
S3_FRAGMENT,2041,9279.75,73.48,79.53,3761.27
S3_FRAGMENT,2042,9326.15,72.75,78.73,3817.69
S3_FRAGMENT,2043,9372.78,72.02,77.94,3874.96
S3_FRAGMENT,2044,9419.65,71.3,77.16,3933.08
S3_FRAGMENT,2045,9466.75,70.59,76.39,3992.08
S3_FRAGMENT,2046,9514.08,69.88,75.63,4051.96
S3_FRAGMENT,2047,9561.65,69.18,74.87,4112.74
S3_FRAGMENT,2048,9609.46,68.49,74.12,4174.43
S3_FRAGMENT,2049,9657.5,67.8,73.38,4237.05
S3_FRAGMENT,2050,9705.79,67.13,72.65,4300.6
S4_FOSSIL,2026,8670.82,86.3,93.87,2964.0
S4_FOSSIL,2027,8774.87,86.3,94.34,2964.0
S4_FOSSIL,2028,8880.16,86.3,94.81,2964.0
S4_FOSSIL,2029,8986.73,86.3,95.28,2964.0
S4_FOSSIL,2030,9094.57,86.3,95.76,2964.0
S4_FOSSIL,2031,9203.7,86.3,96.24,2964.0
S4_FOSSIL,2032,9314.15,86.3,96.72,2964.0
S4_FOSSIL,2033,9425.92,86.3,97.2,2964.0
S4_FOSSIL,2034,9539.03,86.3,97.69,2964.0
S4_FOSSIL,2035,9653.5,86.3,98.18,2964.0
S4_FOSSIL,2036,9769.34,86.3,98.67,2964.0
S4_FOSSIL,2037,9886.57,86.3,99.16,2964.0
S4_FOSSIL,2038,10005.21,86.3,99.66,2964.0
S4_FOSSIL,2039,10125.27,86.3,100.15,2964.0
S4_FOSSIL,2040,10246.77,86.3,100.66,2964.0
S4_FOSSIL,2041,10369.73,86.3,101.16,2964.0
S4_FOSSIL,2042,10494.17,86.3,101.66,2964.0
S4_FOSSIL,2043,10620.1,86.3,102.17,2964.0
S4_FOSSIL,2044,10747.54,86.3,102.68,2964.0
S4_FOSSIL,2045,10876.51,86.3,103.2,2964.0
S4_FOSSIL,2046,11007.03,86.3,103.71,2964.0
S4_FOSSIL,2047,11139.12,86.3,104.23,2964.0
S4_FOSSIL,2048,11272.79,86.3,104.75,2964.0
S4_FOSSIL,2049,11408.06,86.3,105.28,2964.0
S4_FOSSIL,2050,11544.96,86.3,105.8,2964.0
