iso3,year,population,region,gdp_pc_ppp,gdp_pc_growth_5y_pct,gdp_growth_pct,gdp_growth_3y_avg_pct,urban_pct,urban_pct_change_5y,gfcf_pct_gdp,gfcf_pct_gdp_change_3y,coal_prod_kwh_per_capita,res_copper,res_ironore,res_gold,copper_ratio_lag1,ironore_ratio_lag1,coal_ratio_lag1,gold_ratio_lag1,copper_ratio_change_3y
USA,2006,298730208.0,北米,60684.33998,1.97749,2.78454,3.37195,80.37131,1.06268,23.03817,1.41557,22171.90569,1,1,1,0.63568,0.68044,0.68388,0.48244,0.32337
USA,2007,301844223.0,北米,61314.45208,2.03352,2.00386,2.75732,80.51532,0.96921,22.32301,0.19528,21669.4192,1,1,1,1.13271,0.70799,0.68766,0.63945,0.79404
USA,2008,304970325.0,北米,60806.22387,1.47792,0.11359,1.634,80.62197,0.84463,21.23547,-1.69917,21774.70874,1,1,1,1.13029,1.18365,0.86776,0.69464,0.61962
USA,2009,308023452.0,北米,58722.49677,0.1999,-2.5765,-0.15302,80.68504,0.68894,18.81014,-4.22804,19545.33644,1,1,1,1.02497,1.39302,1.55668,0.80693,0.38929
USA,2010,311062785.0,北米,59797.07365,0.06188,2.69519,0.07743,80.69977,0.50362,18.31394,-4.00908,19725.3683,1,1,1,0.80904,0.76125,0.93829,0.96013,-0.32368
USA,2011,314105075.0,北米,60253.20358,-0.1425,1.56441,0.56103,80.69576,0.32445,18.73698,-2.49849,19696.68589,1,1,1,1.14181,1.33976,1.24685,1.16567,0.01152
USA,2012,317115349.0,北米,61142.3637,-0.0562,2.28911,2.1829,80.68375,0.16843,19.51261,0.70247,18153.67821,1,1,1,1.20469,1.38751,1.37783,1.34456,0.17972
USA,2013,320110752.0,北米,61966.66214,0.3788,2.11783,1.99045,80.66089,0.03892,19.75443,1.44049,17396.2073,1,1,1,1.09453,1.07071,1.10076,1.44162,0.28549
USA,2014,323115377.0,北米,63026.87792,1.42482,2.52382,2.31025,80.62422,-0.06081,20.41964,1.68266,17479.50238,1,1,1,1.0124,1.13223,0.96977,1.22371,-0.12941
USA,2015,326126496.0,北米,64367.71889,1.48401,2.94555,2.52907,80.5708,-0.12898,20.64928,1.13668,15320.76376,1,1,1,0.96072,0.82277,0.81612,1.11238,-0.24397
USA,2016,329179423.0,北米,65025.9856,1.53631,1.81945,2.42961,80.49766,-0.19809,20.6802,0.92578,12405.31672,1,1,1,0.85313,0.52433,0.75819,1.12856,-0.24139
USA,2017,332204657.0,北米,66164.032,1.59117,2.45762,2.40754,80.40187,-0.28188,20.98917,0.56952,13095.47867,1,1,1,0.78449,0.57025,0.88539,1.26368,-0.22791
USA,2018,335056492.0,北米,67728.44249,1.7941,2.96651,2.41453,80.28046,-0.38043,21.296,0.64672,12766.35762,1,1,1,0.96103,0.67769,1.1461,1.23037,0.0003
USA,2019,337790069.0,北米,69121.458,1.86322,2.58383,2.66932,80.13048,-0.49374,21.33111,0.65091,11750.06125,1,1,1,0.97148,0.62902,1.32368,1.18565,0.11835
USA,2020,339436156.0,北米,67406.83113,0.92695,-2.08138,1.15632,79.99745,-0.57335,21.58028,0.59111,8779.15316,1,1,1,0.91557,0.86593,0.98615,1.33219,0.13108
USA,2021,340161438.0,北米,71441.23198,1.89958,6.15202,2.21816,80.00748,-0.49019,21.29314,-0.00286,9491.3992,1,1,1,0.95557,1.02204,0.78212,1.72043,-0.00546
USA,2022,341534041.0,北米,72828.74309,1.93801,2.52421,2.19829,80.0325,-0.36937,21.33121,0.0001,9817.57482,1,1,1,1.29046,1.35721,1.58942,1.56532,0.31898
USA,2023,343477330.0,北米,74351.67182,1.88352,2.93436,3.8702,80.07156,-0.2089,21.37703,-0.20325,9526.13379,1,1,1,1.13832,0.94858,3.69899,1.45875,0.22275
USA,2024,345426566.0,北米,75698.17734,1.8344,2.79319,2.75059,80.12478,-0.0057,21.34983,0.05669,8533.91514,1,1,1,1.12756,0.97062,1.9068,1.62052,0.17199
USA,2025,347275809.0,北米,76931.3107,2.67858,2.16138,2.62964,80.19217,0.19472,21.34983,0.01862,8488.47205,1,1,1,1.20363,0.87236,1.48992,1.97355,-0.08683
CAN,2006,32759174.0,北米,53195.76086,1.75071,2.63794,2.98025,80.21907,1.37759,22.88474,2.87238,12347.19777,1,1,2,0.63568,0.68044,0.68388,0.48244,0.32337
CAN,2007,33092171.0,北米,53761.8408,1.58564,2.0499,2.63277,80.44256,1.34354,23.339,2.46441,12536.7417,1,1,2,1.13271,0.70799,0.68766,0.63945,0.79404
CAN,2008,33449088.0,北米,53711.65803,1.38583,0.99541,1.89442,80.66289,1.27151,23.46896,1.63172,12370.26253,1,1,2,1.13029,1.18365,0.86776,0.69464,0.61962
CAN,2009,33826370.0,北米,51552.40203,0.13311,-2.91509,0.04341,80.85918,1.16688,22.30693,-0.57782,11390.25559,1,1,2,1.02497,1.39302,1.55668,0.80693,0.38929
CAN,2010,34196900.0,北米,52558.42006,0.077,3.09081,0.39038,81.01209,1.03603,23.46115,0.12216,11994.596,1,1,2,0.80904,0.76125,0.93829,0.96013,-0.32368
CAN,2011,34555449.0,北米,53681.10848,0.18181,3.13719,1.1043,81.10314,0.88408,23.51038,0.04142,11877.11379,1,1,2,1.14181,1.33976,1.24685,1.16567,0.01152
CAN,2012,34922513.0,北米,54034.78217,0.10133,1.75566,2.66122,81.15135,0.70879,24.49428,2.18735,11856.33462,1,1,2,1.20469,1.38751,1.37783,1.34456,0.17972
CAN,2013,35293421.0,北米,54712.15686,0.3698,2.32581,2.40622,81.18344,0.52055,24.18739,0.72624,11884.96292,1,1,2,1.09453,1.07071,1.10076,1.44162,0.28549
CAN,2014,35634265.0,北米,55723.46157,1.56822,2.87347,2.31831,81.21118,0.352,24.3893,0.87893,11692.56613,1,1,2,1.0124,1.13223,0.96977,1.22371,-0.12941
CAN,2015,35962236.0,北米,55660.84558,1.15364,0.64997,1.94975,81.24657,0.23448,23.85056,-0.64372,10432.94416,1,1,2,0.96072,0.82277,0.81612,1.11238,-0.24397
