iso3,year,population,region,gdp_pc_ppp,gdp_pc_growth_5y_pct,gdp_growth_pct,gdp_growth_3y_avg_pct,urban_pct,urban_pct_change_5y,gfcf_pct_gdp,gfcf_pct_gdp_change_3y,coal_prod_kwh_per_capita,res_copper,res_ironore,res_gold,copper_ratio_lag1,ironore_ratio_lag1,coal_ratio_lag1,gold_ratio_lag1,copper_ratio_change_3y,partition,weight,units,units_per_mn_pop
JPN,1995,125672659.0,日本,38137.93463,,2.34206,2.34206,78.01908,,31.99044,,324.18348,0,0,0,,,,,,train,11.21038,17742,141.17629
JPN,1996,125975304.0,日本,39221.76512,,3.07547,2.70876,78.1374,,33.06693,,334.77196,0,0,0,0.484,0.28375,0.53904,0.39775,,train,11.22387,18155,144.11555
JPN,1997,126265926.0,日本,39661.73128,,1.36297,2.26016,78.23189,,32.11976,,220.09105,0,0,0,0.38565,0.30579,0.53149,0.40917,,train,11.23681,14271,113.02337
JPN,1998,126549182.0,日本,38852.95266,,-1.77264,0.8886,78.32664,,30.40568,-1.58475,188.22721,0,0,0,0.40156,0.32231,0.51385,0.36635,,train,11.24941,11907,94.0899
JPN,1999,126801566.0,日本,38647.27053,,-0.3476,-0.25242,78.44834,,29.9697,-3.09723,200.68364,0,0,0,0.30504,0.34619,0.44836,0.34066,-0.17896,train,11.26062,12308,97.06505
JPN,2000,127027794.0,日本,39731.79537,0.82221,2.97833,0.28603,78.61268,0.5936,29.71975,-2.40001,148.61315,0,0,0,0.29579,0.31405,0.40428,0.32924,-0.08986,train,11.27066,18156,142.92935
JPN,2001,127260144.0,日本,39748.98377,0.26741,0.28461,0.97178,79.15775,1.02034,28.98036,-1.42533,151.65785,0,0,0,0.34534,0.33242,0.41562,0.334,-0.05622,train,11.28096,13725,107.84995
JPN,2002,127484599.0,日本,39690.36768,0.01444,0.08499,1.11597,80.54699,2.3151,27.55132,-2.41838,64.79214,0,0,0,0.31231,0.35996,0.53149,0.33685,0.00727,train,11.29091,9779,76.7073
JPN,2003,127671254.0,日本,40152.12826,0.66,1.38011,0.58324,82.42068,4.09404,26.84197,-2.87778,63.20138,0,0,0,0.31231,0.35537,0.42065,0.39014,0.01652,validation,11.29917,8302,65.02638
JPN,2004,127815769.0,日本,40986.72257,1.18238,2.11295,1.19268,84.37105,5.92271,26.36551,-2.61485,63.16122,0,0,0,0.33868,0.36823,0.4131,0.43487,-0.00667,validation,11.30556,10769,84.25408
JPN,2005,127913331.0,日本,41740.35204,0.99121,1.84828,1.78045,85.95736,7.34468,26.88122,-0.6701,52.5043,0,0,0,0.51067,0.40955,0.78463,0.4577,0.19836,validation,11.30988,12623,98.68401
USA,1995,268205796.0,北米,47227.00833,,2.68443,2.68443,77.19771,,20.8646,,22972.12101,1,1,1,,,,,,train,16.37699,20132,75.06176
USA,1996,270860695.0,北米,48441.90611,,3.77277,3.2286,77.65234,,21.3203,,23425.98656,1,1,1,0.484,0.28375,0.53904,0.39775,,train,16.45785,26846,99.11368
USA,1997,273468014.0,北米,49990.67407,,4.44713,3.63478,78.08558,,21.58284,,23731.49936,1,1,1,0.38565,0.30579,0.53149,0.40917,,train,16.53687,29210,106.81322
USA,1998,276119323.0,北米,51626.48383,,4.48313,4.23434,78.47854,,22.25525,1.39066,24245.32962,1,1,1,0.40156,0.32231,0.51385,0.36635,,train,16.61684,37000,134.00004
USA,1999,278785482.0,北米,53480.897,,4.78843,4.5729,78.81232,,22.78768,1.46738,23264.32838,1,1,1,0.30504,0.34619,0.44836,0.34066,-0.17896,train,16.69687,33864,121.46974
USA,2000,281484126.0,北米,55045.67453,3.11137,4.07759,4.44971,79.07409,1.87638,23.14628,1.56344,22487.79741,1,1,1,0.29579,0.31405,0.40428,0.32924,-0.08986,train,16.77749,33577,119.28559
USA,2001,284279634.0,北米,55024.35428,2.58096,0.95554,3.27385,79.30862,1.65628,22.53851,0.28325,23061.52188,1,1,1,0.34534,0.33242,0.41562,0.334,-0.05622,train,16.86059,31912,112.25567
USA,2002,287084335.0,北米,55443.21994,2.09204,1.70045,2.24452,79.5461,1.46052,21.5399,-1.24778,22045.97126,1,1,1,0.31231,0.35996,0.53149,0.33685,0.00727,train,16.94356,26239,91.39823
USA,2003,289908091.0,北米,56505.44688,1.82245,2.79561,1.8172,79.77734,1.2988,21.62261,-1.52367,21217.97284,1,1,1,0.31231,0.35537,0.42065,0.39014,0.01652,validation,17.02669,29950,103.3086
USA,2004,292786248.0,北米,58139.08202,1.6843,3.84777,2.78127,79.99609,1.18378,22.12774,-0.41077,21730.61421,1,1,1,0.33868,0.36823,0.4131,0.43487,-0.00667,validation,17.111,28986,99.00055
USA,2005,295716666.0,北米,59612.39072,1.60678,3.48355,3.37564,80.19616,1.12207,22.93464,1.39474,21828.87792,1,1,1,0.51067,0.40955,0.78463,0.4577,0.19836,validation,17.19641,40966,138.53125
