iso3,year,population,region,gdp_pc_ppp,gdp_pc_growth_5y_pct,gdp_growth_pct,gdp_growth_3y_avg_pct,urban_pct,urban_pct_change_5y,gfcf_pct_gdp,gfcf_pct_gdp_change_3y,coal_prod_kwh_per_capita,res_copper,res_ironore,res_gold,copper_ratio_lag1,ironore_ratio_lag1,coal_ratio_lag1,gold_ratio_lag1,copper_ratio_change_3y,partition,weight,units,units_per_mn_pop
USA,1995,268205796.0,北米,47227.00833,,2.68443,2.68443,77.19771,,20.8646,,22972.12101,1,1,1,,,,,,train,16.37699,137,0.5108
USA,1996,270860695.0,北米,48441.90611,,3.77277,3.2286,77.65234,,21.3203,,23425.98656,1,1,1,0.484,0.28375,0.53904,0.39775,,train,16.45785,144,0.53164
USA,1997,273468014.0,北米,49990.67407,,4.44713,3.63478,78.08558,,21.58284,,23731.49936,1,1,1,0.38565,0.30579,0.53149,0.40917,,train,16.53687,117,0.42784
USA,1998,276119323.0,北米,51626.48383,,4.48313,4.23434,78.47854,,22.25525,1.39066,24245.32962,1,1,1,0.40156,0.32231,0.51385,0.36635,,train,16.61684,109,0.39476
USA,1999,278785482.0,北米,53480.897,,4.78843,4.5729,78.81232,,22.78768,1.46738,23264.32838,1,1,1,0.30504,0.34619,0.44836,0.34066,-0.17896,train,16.69687,89,0.31924
USA,2000,281484126.0,北米,55045.67453,3.11137,4.07759,4.44971,79.07409,1.87638,23.14628,1.56344,22487.79741,1,1,1,0.29579,0.31405,0.40428,0.32924,-0.08986,train,16.77749,89,0.31618
USA,2001,284279634.0,北米,55024.35428,2.58096,0.95554,3.27385,79.30862,1.65628,22.53851,0.28325,23061.52188,1,1,1,0.34534,0.33242,0.41562,0.334,-0.05622,train,16.86059,123,0.43267
USA,2002,287084335.0,北米,55443.21994,2.09204,1.70045,2.24452,79.5461,1.46052,21.5399,-1.24778,22045.97126,1,1,1,0.31231,0.35996,0.53149,0.33685,0.00727,train,16.94356,107,0.37271
USA,2003,289908091.0,北米,56505.44688,1.82245,2.79561,1.8172,79.77734,1.2988,21.62261,-1.52367,21217.97284,1,1,1,0.31231,0.35537,0.42065,0.39014,0.01652,validation,17.02669,132,0.45532
USA,2004,292786248.0,北米,58139.08202,1.6843,3.84777,2.78127,79.99609,1.18378,22.12774,-0.41077,21730.61421,1,1,1,0.33868,0.36823,0.4131,0.43487,-0.00667,validation,17.111,202,0.68992
USA,2005,295716666.0,北米,59612.39072,1.60678,3.48355,3.37564,80.19616,1.12207,22.93464,1.39474,21828.87792,1,1,1,0.51067,0.40955,0.78463,0.4577,0.19836,validation,17.19641,296,1.00096
CAN,1995,29459138.0,北米,41617.70692,,2.68233,2.68233,77.63565,,18.3473,,16980.29997,1,1,2,,,,,,train,5.42763,102,3.46242
CAN,1996,29767210.0,北米,41880.53559,,1.68896,2.18564,77.89246,,18.80677,,17097.63864,1,1,2,0.484,0.28375,0.53904,0.39775,,train,5.45593,124,4.16566
CAN,1997,30059088.0,北米,43241.22365,,4.28017,2.88382,78.09034,,20.30012,,17538.98854,1,1,2,0.38565,0.30579,0.53149,0.40917,,train,5.48262,113,3.75926
CAN,1998,30329971.0,北米,44553.26517,,3.89289,3.28734,78.26938,,20.55494,2.20764,16440.14101,1,1,2,0.40156,0.32231,0.51385,0.36635,,train,5.50727,121,3.98945
CAN,1999,30599458.0,北米,46464.52745,,5.141,4.43802,78.44393,,20.19029,1.38352,15662.89181,1,1,2,0.30504,0.34619,0.44836,0.34066,-0.17896,train,5.53168,102,3.33339
