scenario_id,iso3,year,population,region,gdp_pc_ppp,gdp_pc_growth_5y_pct,gdp_growth_pct,gdp_growth_3y_avg_pct,urban_pct,urban_pct_change_5y,gfcf_pct_gdp,gfcf_pct_gdp_change_3y,coal_prod_kwh_per_capita,res_copper,res_ironore,res_gold,copper_ratio_lag1,ironore_ratio_lag1,coal_ratio_lag1,gold_ratio_lag1,copper_ratio_change_3y
S1_BASE,ARG,2026,45973349.7587,中南米,27931.3214,1.21066,0.5711,1.1985,92.312,0.28272,16.3161,-2.17693,3.59339,0,0,1,1.29834,0.79247,1.17632,2.82044,0.16002
S1_BASE,ARG,2027,46095644.9758,中南米,28095.06,0.19334,0.8538,1.93074,92.2766,0.16376,16.618,0.71443,3.56433,0,0,1,1.31132,0.78851,1.15868,2.82044,0.18376
S1_BASE,ARG,2028,46218265.5144,中南米,28339.5042,0.80165,1.1384,0.85443,92.2453,0.05079,16.9062,0.90617,3.53756,0,0,1,1.32444,0.78457,1.1413,2.82044,0.12081
S1_BASE,ARG,2029,46341212.2399,中南米,28666.5655,1.37692,1.4232,1.13847,92.2175,-0.05673,17.1814,0.8653,3.51091,0,0,1,1.33768,0.78064,1.12418,2.82044,0.03934
S1_BASE,ARG,2030,46464486.0201,中南米,29078.3888,0.86945,1.7064,1.42267,92.1928,-0.15912,17.4441,0.8261,3.48438,0,0,1,1.35106,0.77674,1.10731,2.82044,0.03973
S1_BASE,ARG,2031,46588087.7249,中南米,29577.359,1.15179,1.9865,1.70537,92.1709,-0.1411,17.695,0.7888,3.45797,0,0,1,1.36457,0.77286,1.09071,2.82044,0.04013
S1_BASE,ARG,2032,46712018.2266,中南米,30166.1007,1.43267,2.2618,1.9849,92.1516,-0.125,17.9346,0.7532,3.43167,0,0,1,1.37821,0.76899,1.07435,2.82044,0.04053
S1_BASE,ARG,2033,46836278.4,中南米,30847.4726,1.71042,2.5308,2.2597,92.1344,-0.1109,18.1633,0.7192,3.40548,0,0,1,1.392,0.76515,1.05823,2.82044,0.04094
S1_BASE,ARG,2034,46960869.1219,中南米,31624.5551,1.98346,2.7918,2.52813,92.1191,-0.0984,18.3817,0.6867,3.37941,0,0,1,1.40592,0.76132,1.04236,2.82044,0.04135
S1_BASE,ARG,2035,47085791.2717,中南米,32500.632,2.25023,3.0436,2.78873,92.1056,-0.0872,18.5903,0.6557,3.35345,0,0,1,1.41997,0.75751,1.02672,2.82044,0.04176
S1_BASE,ARG,2036,47211045.731,中南米,33390.97,2.45518,3.0127,2.94937,92.0937,-0.0772,18.7894,0.6261,3.27678,0,0,1,1.43417,0.75373,1.01132,2.82044,0.04218
S1_BASE,ARG,2037,47336633.3837,中南米,34295.616,2.59918,2.9825,3.01293,92.083,-0.0686,18.9796,0.5979,3.20259,0,0,1,1.44852,0.74996,0.99615,2.82044,0.0426
S1_BASE,ARG,2038,47462555.1164,中南米,35214.6173,2.6835,2.9528,2.98267,92.0736,-0.0608,19.1611,0.5708,3.13089,0,0,1,1.463,0.74621,0.98121,2.82044,0.04303
S1_BASE,ARG,2039,47588811.8175,中南米,36148.0217,2.70983,2.9237,2.953,92.0653,-0.0538,19.3345,0.5451,3.05954,0,0,1,1.47763,0.74248,0.96649,2.82044,0.04346
S1_BASE,ARG,2040,47715404.3783,中南米,37095.8776,2.68021,2.8951,2.92387,92.0579,-0.0477,19.5,0.5204,2.99065,0,0,1,1.49241,0.73876,0.95199,2.82044,0.04389
S1_BASE,ARG,2041,47842333.6921,中南米,38058.2342,2.65117,2.8672,2.89533,92.0513,-0.0424,19.6581,0.497,2.92419,0,0,1,1.50733,0.73507,0.93771,2.82044,0.04433
S1_BASE,ARG,2042,47969600.6547,中南米,39035.1416,2.6227,2.8397,2.86733,92.0455,-0.0375,19.809,0.4745,2.85806,0,0,1,1.5224,0.7314,0.92365,2.82044,0.04477
S1_BASE,ARG,2043,48097206.1644,中南米,40026.6509,2.59478,2.8128,2.8399,92.0403,-0.0333,19.9531,0.4531,2.79226,0,0,1,1.53763,0.72774,0.90979,2.82044,0.04522
S1_BASE,ARG,2044,48225151.1216,中南米,41032.8142,2.5674,2.7864,2.81297,92.0358,-0.0295,20.0907,0.4326,2.72887,0,0,1,1.55301,0.7241,0.89615,2.82044,0.04567
S1_BASE,ARG,2045,48353436.4294,中南米,42053.6849,2.54056,2.7606,2.7866,92.0317,-0.0262,20.2221,0.4131,2.66786,0,0,1,1.56854,0.72048,0.8827,2.82044,0.04613
S1_BASE,ARG,2046,48482062.9932,中南米,43089.3178,2.51424,2.7352,2.76073,92.0281,-0.0232,20.3475,0.3944,2.60715,0,0,1,1.58422,0.71688,0.86946,2.82044,0.04659
S1_BASE,ARG,2047,48611031.7208,中南米,44139.7689,2.48843,2.7103,2.73537,92.0249,-0.0206,20.4673,0.3766,2.5488,0,0,1,1.60006,0.71329,0.85642,2.82044,0.04706
S1_BASE,ARG,2048,48740343.5223,中南米,45205.0958,2.46313,2.686,2.7105,92.0221,-0.0182,20.5817,0.3596,2.49075,0,0,1,1.61606,0.70973,0.84357,2.82044,0.04753
S1_BASE,ARG,2049,48869999.3103,中南米,46285.3577,2.43832,2.6621,2.68613,92.0196,-0.0162,20.6909,0.3434,2.43503,0,0,1,1.63222,0.70618,0.83092,2.82044,0.048
S1_BASE,ARG,2050,49000000.0,中南米,47380.6155,2.414,2.6386,2.66223,92.0174,-0.0143,20.7951,0.3278,2.37959,0,0,1,1.64855,0.70265,0.81846,2.82044,0.04848
S1_BASE,AUS,2026,27192458.0735,オセアニア,60319.9741,0.67408,1.0207,1.24817,87.8355,0.60016,24.2687,1.07545,120112.75668,1,3,2,1.29834,0.79247,1.17632,2.82044,0.16002
S1_BASE,AUS,2027,27412661.0134,オセアニア,60519.5036,0.16285,1.1433,1.17147,87.9485,0.61417,24.2114,0.11942,118552.16458,1,3,2,1.31132,0.78851,1.15868,2.82044,0.18376
S1_BASE,AUS,2028,27634647.1439,オセアニア,60795.2326,0.03632,1.2691,1.14437,88.0585,0.5718,24.1567,-0.17202,117011.85049,1,3,2,1.32444,0.78457,1.1413,2.82044,0.12081
S1_BASE,AUS,2029,27858430.9051,オセアニア,61149.5945,0.27703,1.3974,1.26993,88.1654,0.56325,24.1045,-0.1642,115491.54764,1,3,2,1.33768,0.78064,1.12418,2.82044,0.03934
S1_BASE,AUS,2030,28084026.8542,オセアニア,61584.8811,0.4579,1.5274,1.39797,88.2695,0.55023,24.0546,-0.1568,113990.99626,1,3,2,1.35106,0.77674,1.10731,2.82044,0.03973
S1_BASE,AUS,2031,28311449.6661,オセアニア,62103.2467,0.5844,1.6583,1.5277,88.3708,0.5353,24.007,-0.1497,112509.94342,1,3,2,1.36457,0.77286,1.09071,2.82044,0.04013
S1_BASE,AUS,2032,28540714.1347,オセアニア,62706.7099,0.71258,1.7894,1.65837,88.4693,0.5208,23.9615,-0.143,111048.13233,1,3,2,1.37821,0.76899,1.07435,2.82044,0.04053
S1_BASE,AUS,2033,28771835.1736,オセアニア,63397.1529,0.84167,1.9198,1.78917,88.5651,0.5066,23.9181,-0.1365,109605.31301,1,3,2,1.392,0.76515,1.05823,2.82044,0.04094
S1_BASE,AUS,2034,29004827.8172,オセアニア,64176.3189,0.9709,2.0488,1.91933,88.6584,0.493,23.8766,-0.1304,108181.24209,1,3,2,1.40592,0.76132,1.04236,2.82044,0.04135
S1_BASE,AUS,2035,29239707.2216,オセアニア,65045.8064,1.09951,2.1756,2.04807,88.7491,0.4796,23.837,-0.1245,106775.67242,1,3,2,1.41997,0.75751,1.02672,2.82044,0.04176
S1_BASE,AUS,2036,29476488.6658,オセアニア,65925.0851,1.20158,2.1725,2.1323,88.8373,0.4665,23.7992,-0.1189,103799.59549,1,3,2,1.43417,0.75373,1.01132,2.82044,0.04218
S1_BASE,AUS,2037,29715187.5522,オセアニア,66814.2737,1.27705,2.1695,2.17253,88.9231,0.4538,23.7631,-0.1135,100906.46726,1,3,2,1.44852,0.74996,0.99615,2.82044,0.0426
S1_BASE,AUS,2038,29955819.4084,オセアニア,67713.4924,1.32605,2.1665,2.1695,89.0067,0.4416,23.7287,-0.1083,98093.98167,1,3,2,1.463,0.74621,0.98121,2.82044,0.04303
S1_BASE,AUS,2039,30198399.8872,オセアニア,68622.8629,1.34885,2.1636,2.16653,89.0879,0.4295,23.6958,-0.1034,95359.88035,1,3,2,1.47763,0.74248,0.96649,2.82044,0.04346
S1_BASE,AUS,2040,30442944.7687,オセアニア,69542.5083,1.34591,2.1608,2.16363,89.1669,0.4178,23.6644,-0.0987,92701.98798,1,3,2,1.49241,0.73876,0.95199,2.82044,0.04389
S1_BASE,AUS,2041,30689469.9603,オセアニア,70472.5536,1.34302,2.158,2.1608,89.2438,0.4065,23.6344,-0.0943,90118.17746,1,3,2,1.50733,0.73507,0.93771,2.82044,0.04433
S1_BASE,AUS,2042,30937991.4986,オセアニア,71413.1251,1.3402,2.1553,2.15803,89.3186,0.3955,23.6057,-0.0901,87606.38195,1,3,2,1.5224,0.7314,0.92365,2.82044,0.04477
S1_BASE,AUS,2043,31188525.5498,オセアニア,72364.3508,1.33743,2.1526,2.1553,89.3914,0.3847,23.5784,-0.086,85164.5967,1,3,2,1.53763,0.72774,0.90979,2.82044,0.04522
S1_BASE,AUS,2044,31441088.4111,オセアニア,73326.3603,1.33472,2.15,2.15263,89.4622,0.3743,23.5522,-0.0822,82790.86799,1,3,2,1.55301,0.7241,0.89615,2.82044,0.04567
S1_BASE,AUS,2045,31695696.5118,オセアニア,74299.2847,1.33206,2.1474,2.15,89.5311,0.3642,23.5273,-0.0784,80483.30154,1,3,2,1.56854,0.72048,0.8827,2.82044,0.04613
S1_BASE,AUS,2046,31952366.414,オセアニア,75283.257,1.32945,2.1449,2.14743,89.5981,0.3543,23.5035,-0.0749,78240.05482,1,3,2,1.58422,0.71688,0.86946,2.82044,0.04659
S1_BASE,AUS,2047,32211114.8141,オセアニア,76278.4116,1.32689,2.1424,2.1449,89.6633,0.3447,23.4808,-0.0714,76059.32965,1,3,2,1.60006,0.71329,0.85642,2.82044,0.04706
S1_BASE,AUS,2048,32471958.5437,オセアニア,77284.8848,1.32439,2.14,2.14243,89.7267,0.3353,23.459,-0.0683,73939.38363,1,3,2,1.61606,0.70973,0.84357,2.82044,0.04753
S1_BASE,AUS,2049,32734914.5705,オセアニア,78302.8144,1.32193,2.1376,2.14,89.7884,0.3262,23.4383,-0.0652,71878.52881,1,3,2,1.63222,0.70618,0.83092,2.82044,0.048
