iso3,year,population,region,gdp_pc_ppp,gdp_pc_growth_5y_pct,gdp_growth_pct,gdp_growth_3y_avg_pct,urban_pct,urban_pct_change_5y,gfcf_pct_gdp,gfcf_pct_gdp_change_3y,coal_prod_kwh_per_capita,res_copper,res_ironore,res_gold,copper_ratio_lag1,ironore_ratio_lag1,coal_ratio_lag1,gold_ratio_lag1,copper_ratio_change_3y,partition,weight,units,units_per_mn_pop
JPN,1995,125672659.0,日本,38137.93463,,2.34206,2.34206,78.01908,,31.99044,,324.18348,0,0,0,,,,,,train,11.21038,17742,141.17629
JPN,1996,125975304.0,日本,39221.76512,,3.07547,2.70876,78.1374,,33.06693,,334.77196,0,0,0,0.484,0.28375,0.53904,0.39775,,train,11.22387,18155,144.11555
JPN,1997,126265926.0,日本,39661.73128,,1.36297,2.26016,78.23189,,32.11976,,220.09105,0,0,0,0.38565,0.30579,0.53149,0.40917,,train,11.23681,14271,113.02337
JPN,1998,126549182.0,日本,38852.95266,,-1.77264,0.8886,78.32664,,30.40568,-1.58475,188.22721,0,0,0,0.40156,0.32231,0.51385,0.36635,,train,11.24941,11907,94.0899
JPN,1999,126801566.0,日本,38647.27053,,-0.3476,-0.25242,78.44834,,29.9697,-3.09723,200.68364,0,0,0,0.30504,0.34619,0.44836,0.34066,-0.17896,train,11.26062,12308,97.06505
JPN,2000,127027794.0,日本,39731.79537,0.82221,2.97833,0.28603,78.61268,0.5936,29.71975,-2.40001,148.61315,0,0,0,0.29579,0.31405,0.40428,0.32924,-0.08986,train,11.27066,18156,142.92935
JPN,2001,127260144.0,日本,39748.98377,0.26741,0.28461,0.97178,79.15775,1.02034,28.98036,-1.42533,151.65785,0,0,0,0.34534,0.33242,0.41562,0.334,-0.05622,train,11.28096,13725,107.84995
JPN,2002,127484599.0,日本,39690.36768,0.01444,0.08499,1.11597,80.54699,2.3151,27.55132,-2.41838,64.79214,0,0,0,0.31231,0.35996,0.53149,0.33685,0.00727,train,11.29091,9779,76.7073
JPN,2003,127671254.0,日本,40152.12826,0.66,1.38011,0.58324,82.42068,4.09404,26.84197,-2.87778,63.20138,0,0,0,0.31231,0.35537,0.42065,0.39014,0.01652,train,11.29917,8302,65.02638
JPN,2004,127815769.0,日本,40986.72257,1.18238,2.11295,1.19268,84.37105,5.92271,26.36551,-2.61485,63.16122,0,0,0,0.33868,0.36823,0.4131,0.43487,-0.00667,train,11.30556,10769,84.25408
JPN,2005,127913331.0,日本,41740.35204,0.99121,1.84828,1.78045,85.95736,7.34468,26.88122,-0.6701,52.5043,0,0,0,0.51067,0.40955,0.78463,0.4577,0.19836,train,11.30988,12623,98.68401
JPN,2006,127997247.0,日本,42358.93373,1.28002,1.54631,1.83585,87.14609,7.98834,27.05009,0.20812,64.0795,0,0,0,0.63568,0.68044,0.68388,0.48244,0.32337,train,11.31359,15565,121.60418
JPN,2007,128087683.0,日本,43041.56971,1.63437,1.72838,1.70766,88.27014,7.72315,26.45794,0.09243,67.0244,0,0,0,1.13271,0.70799,0.68766,0.63945,0.79404,train,11.31758,14729,114.99154
JPN,2008,128155992.0,日本,42518.84234,1.15202,-1.16662,0.70269,89.29216,6.87148,26.38695,-0.49427,57.78115,0,0,0,1.13029,1.18365,0.86776,0.69464,0.61962,train,11.3206,14545,113.4945
JPN,2009,128192471.0,日本,39999.94642,-0.48622,-5.93594,-1.79139,90.11312,5.74206,24.68399,-2.3661,60.25315,0,0,0,1.02497,1.39302,1.55668,0.80693,0.38929,train,11.32221,9350,72.9372
JPN,2010,128185273.0,日本,41647.04585,-0.04475,4.13646,-0.9887,90.62286,4.6655,23.56351,-2.89443,43.14848,0,0,0,0.80904,0.76125,0.93829,0.96013,-0.32368,train,11.32189,9993,77.95747
JPN,2011,128096430.0,日本,41640.66087,-0.34146,-0.20036,-0.66661,90.86317,3.71708,24.26348,-2.12346,59.86896,0,0,0,1.14181,1.33976,1.24685,1.16567,0.01152,train,11.31797,14817,115.67067
JPN,2012,127928283.0,日本,42394.94332,-0.30229,1.64893,1.86168,91.02653,2.75639,24.76078,0.07679,62.2849,0,0,0,1.20469,1.38751,1.37783,1.34456,0.17972,train,11.31054,15626,122.14656
JPN,2013,127723642.0,日本,43304.11819,0.36668,1.99728,1.14862,91.15166,1.8595,25.51959,1.95608,63.87228,0,0,0,1.09453,1.07071,1.10076,1.44162,0.28549,train,11.30149,17230,134.90063
JPN,2014,127486601.0,日本,43754.43801,1.81049,0.90592,1.51738,91.25489,1.14178,26.4014,2.13792,69.51319,0,0,0,1.0124,1.13223,0.96977,1.22371,-0.12941,train,11.291,16887,132.46098
JPN,2015,127275868.0,日本,44589.30329,1.37463,1.79998,1.56772,91.35326,0.73041,26.37271,1.61193,62.35275,0,0,0,0.96072,0.82277,0.81612,1.11238,-0.24397,train,11.28166,16412,128.94825
