iso3,year,population,region,gdp_pc_ppp,gdp_pc_growth_5y_pct,gdp_growth_pct,gdp_growth_3y_avg_pct,urban_pct,urban_pct_change_5y,gfcf_pct_gdp,gfcf_pct_gdp_change_3y,coal_prod_kwh_per_capita,res_copper,res_ironore,res_gold,copper_ratio_lag1,ironore_ratio_lag1,coal_ratio_lag1,gold_ratio_lag1,copper_ratio_change_3y,partition,weight,units,units_per_mn_pop
USA,1995,268205796.0,北米,47227.00833,,2.68443,2.68443,77.19771,,20.8646,,22972.12101,1,1,1,,,,,,train,16.37699,137,0.5108
USA,1996,270860695.0,北米,48441.90611,,3.77277,3.2286,77.65234,,21.3203,,23425.98656,1,1,1,0.484,0.28375,0.53904,0.39775,,train,16.45785,144,0.53164
USA,1997,273468014.0,北米,49990.67407,,4.44713,3.63478,78.08558,,21.58284,,23731.49936,1,1,1,0.38565,0.30579,0.53149,0.40917,,train,16.53687,117,0.42784
USA,1998,276119323.0,北米,51626.48383,,4.48313,4.23434,78.47854,,22.25525,1.39066,24245.32962,1,1,1,0.40156,0.32231,0.51385,0.36635,,train,16.61684,109,0.39476
USA,1999,278785482.0,北米,53480.897,,4.78843,4.5729,78.81232,,22.78768,1.46738,23264.32838,1,1,1,0.30504,0.34619,0.44836,0.34066,-0.17896,train,16.69687,89,0.31924
USA,2000,281484126.0,北米,55045.67453,3.11137,4.07759,4.44971,79.07409,1.87638,23.14628,1.56344,22487.79741,1,1,1,0.29579,0.31405,0.40428,0.32924,-0.08986,train,16.77749,89,0.31618
USA,2001,284279634.0,北米,55024.35428,2.58096,0.95554,3.27385,79.30862,1.65628,22.53851,0.28325,23061.52188,1,1,1,0.34534,0.33242,0.41562,0.334,-0.05622,train,16.86059,123,0.43267
USA,2002,287084335.0,北米,55443.21994,2.09204,1.70045,2.24452,79.5461,1.46052,21.5399,-1.24778,22045.97126,1,1,1,0.31231,0.35996,0.53149,0.33685,0.00727,train,16.94356,107,0.37271
USA,2003,289908091.0,北米,56505.44688,1.82245,2.79561,1.8172,79.77734,1.2988,21.62261,-1.52367,21217.97284,1,1,1,0.31231,0.35537,0.42065,0.39014,0.01652,train,17.02669,132,0.45532
USA,2004,292786248.0,北米,58139.08202,1.6843,3.84777,2.78127,79.99609,1.18378,22.12774,-0.41077,21730.61421,1,1,1,0.33868,0.36823,0.4131,0.43487,-0.00667,train,17.111,202,0.68992
USA,2005,295716666.0,北米,59612.39072,1.60678,3.48355,3.37564,80.19616,1.12207,22.93464,1.39474,21828.87792,1,1,1,0.51067,0.40955,0.78463,0.4577,0.19836,train,17.19641,296,1.00096
USA,2006,298730208.0,北米,60684.33998,1.97749,2.78454,3.37195,80.37131,1.06268,23.03817,1.41557,22171.90569,1,1,1,0.63568,0.68044,0.68388,0.48244,0.32337,train,17.28381,358,1.19841
USA,2007,301844223.0,北米,61314.45208,2.03352,2.00386,2.75732,80.51532,0.96921,22.32301,0.19528,21669.4192,1,1,1,1.13271,0.70799,0.68766,0.63945,0.79404,train,17.37366,440,1.45771
USA,2008,304970325.0,北米,60806.22387,1.47792,0.11359,1.634,80.62197,0.84463,21.23547,-1.69917,21774.70874,1,1,1,1.13029,1.18365,0.86776,0.69464,0.61962,train,17.4634,564,1.84936
USA,2009,308023452.0,北米,58722.49677,0.1999,-2.5765,-0.15302,80.68504,0.68894,18.81014,-4.22804,19545.33644,1,1,1,1.02497,1.39302,1.55668,0.80693,0.38929,train,17.5506,446,1.44794
USA,2010,311062785.0,北米,59797.07365,0.06188,2.69519,0.07743,80.69977,0.50362,18.31394,-4.00908,19725.3683,1,1,1,0.80904,0.76125,0.93829,0.96013,-0.32368,train,17.63697,301,0.96765
